Šifra modela,Veličina,Šifra boje,MPC,Ime branda,Šifra branda,Vodič za veličinu,Spol,Oblik,Tip,Boja prednjeg dijela,Materijal prednjeg dijela,Širina leće,Visina leće,Materijal ručkice,Dužina ručkice,Fleksibilni,Veličina mosta,Naziv,Privremeno ime,Slika,Naziv final
0VO2998-2,54,W745,110,VOGUE,VO,S,Žene,Phantos,Puni okvir,Fronta Havana/Zlatna,Metal,51,45,Metal,135,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO2998__W745,Dioptrijski okvir VOGUE S Fronta Havana/Zlatna
0VO3940,54,965S,92,VOGUE,VO,XS,Žene,Phantos,Puni okvir,Fronta Crna/Srebrna,Metal,50,45,Metal,135,,19,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO3940__965S,Dioptrijski okvir VOGUE XS Fronta Crna/Srebrna
0VO3940-1,54,965S,92,VOGUE,VO,XS,Žene,Phantos,Puni okvir,Fronta Crna/Srebrna,Metal,50,45,Metal,135,,19,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO3940__965S,Dioptrijski okvir VOGUE XS Fronta Crna/Srebrna
0VO3987B,52,352,92,VOGUE,VO,"S,XS",Žene,Phantos,Puni okvir,"Fronta Crna/Srebrna,Fronta Havana/Blijeda Zlatna",Metal,52,47,Metal,135,,19,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO3987B__352,"Dioptrijski okvir VOGUE S,XS Fronta Crna/Srebrna,Fronta Havana/Blijeda Zlatna"
0VO3987B-1,52,352,92,VOGUE,VO,S,Žene,Phantos,Puni okvir,Fronta Crna/Srebrna,Metal,52,47,Metal,135,,19,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO3987B__352,Dioptrijski okvir VOGUE S Fronta Crna/Srebrna
0VO3987B-2,52,811,92,VOGUE,VO,XS,Žene,Phantos,Puni okvir,Fronta Havana/Blijeda Zlatna,Metal,50,45,Metal,135,,19,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO3987B__811,Dioptrijski okvir VOGUE XS Fronta Havana/Blijeda Zlatna
0VO4050,51,997,92,VOGUE,VO,"S,XS",Žene,Kvadratni,Puni okvir,"Fronta Crna/Zlatna,Fronta Crna/Srebrna",Metal,52,46,Metal,135,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4050__997,"Dioptrijski okvir VOGUE S,XS Fronta Crna/Zlatna,Fronta Crna/Srebrna"
0VO4050-1,51,997,92,VOGUE,VO,S,Žene,Kvadratni,Puni okvir,Fronta Crna/Zlatna,Metal,52,46,Metal,135,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4050__997,Dioptrijski okvir VOGUE S Fronta Crna/Zlatna
0VO4050-2,53,997,101,VOGUE,VO,XS,Žene,Kvadratni,Puni okvir,Fronta Crna/Srebrna,Metal,50,44,Metal,135,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4050__997,Dioptrijski okvir VOGUE XS Fronta Crna/Srebrna
0VO4067,53,5060,101,VOGUE,VO,S,Žene,Kvadratni,Puni okvir,Fronta Crna/Srebrna,Metal,52,46,Metal,135,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4067__5060,Dioptrijski okvir VOGUE S Fronta Crna/Srebrna
0VO4067-1,53,5060,101,VOGUE,VO,S,Žene,Kvadratni,Puni okvir,Fronta Crna/Srebrna,Metal,52,46,Metal,135,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4067__5060,Dioptrijski okvir VOGUE S Fronta Crna/Srebrna
0VO4116D,54,848,101,VOGUE,VO,XXS,Muškarci,Phantos,Puni okvir,Fronta Crna/Srebrna,Metal,48,43,Metal,145,,21,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4116D__848,Dioptrijski okvir VOGUE XXS Fronta Crna/Srebrna
0VO4116D-1,54,848,101,VOGUE,VO,XXS,Muškarci,Phantos,Puni okvir,Fronta Crna/Srebrna,Metal,48,43,Metal,145,,21,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4116D__848,Dioptrijski okvir VOGUE XXS Fronta Crna/Srebrna
