Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Šifra modela;Veličina;Šifra boje;Boja prednjeg dijela;MPC;Ime branda;Šifra branda;Vodič za veličinu;Spol;Oblik;Tip;Materijal prednjeg dijela;Širina leće;Visina leće;Materijal ručkice;Dužina ručkice;Fleksibilni;Veličina mosta;Naziv proizvoda;širina fronte
VO4285-M-SREBRNA-323;vo4285-m-srebrna-323;323;VO4285__323;Default;Eyewear;SREBRNA;srebrna;VO4285;55;352,323;Crna, SREBRNA;92;VOGUE;VO;M;Žene;Mačkasti;Puni okvir;Metal;55;43;Metal;135;;17;VOGUE;137
VO4307;vo4307;;VO4307__5152,VO4307__5149,VO4307__280,VO4307__5074;Default;Eyewear;Ružičasta, SMEĐA;;VO4307;52;5152,5149;Ružičasta, SMEĐA;92;VOGUE;VO;S;Žene;Leptirasti;Puni okvir;Metal;52;42;Metal;140;;17;VOGUE;130
VO4307-S-Ruzicasta-5152;vo4307-s-ruzicasta-5152;5152;VO4307__5152;Default;Eyewear;Ružičasta;roza;VO4307;52;5152,5149;Ružičasta, SMEĐA;92;VOGUE;VO;S;Žene;Leptirasti;Puni okvir;Metal;52;42;Metal;140;;17;VOGUE;130
VO4307-S-SMEDA-5149;vo4307-s-smeda-5149;5149;VO4307__5149;Default;Eyewear;SMEĐA;smeđa;VO4307;52;5152,5149;Ružičasta, SMEĐA;92;VOGUE;VO;S;Žene;Leptirasti;Puni okvir;Metal;52;42;Metal;140;;17;VOGUE;130
VO4307-M-Ruzicasta-5152;vo4307-m-ruzicasta-5152;5152;VO4307__5152;Default;Eyewear;Ružičasta;roza;VO4307;54;5152,280,5074;Ružičasta, Zlatna, smeđa;92;VOGUE;VO;M;Žene;Leptirasti;Puni okvir;Metal;54;44;Metal;140;;17;VOGUE;135
VO4307-M-Zlatna-280;vo4307-m-zlatna-280;280;VO4307__280;Default;Eyewear;Zlatna;zlatna;VO4307;54;5152,280,5074;Ružičasta, Zlatna, smeđa;92;VOGUE;VO;M;Žene;Leptirasti;Puni okvir;Metal;54;44;Metal;140;;17;VOGUE;135
VO4307-M-smeda-5074;vo4307-m-smeda-5074;5074;VO4307__5074;Default;Eyewear;smeđa;smeđa;VO4307;54;5152,280,5074;Ružičasta, Zlatna, smeđa;92;VOGUE;VO;M;Žene;Leptirasti;Puni okvir;Metal;54;44;Metal;140;;17;VOGUE;135
VO4163;vo4163;;VO4163__848,VO4163__28;Default;Eyewear;Zlatna, crna;;VO4163;53;848,28;Zlatna, crna;92;VOGUE;VO;S;Žene;Leptirasti;Puni okvir;Metal;53;40;Metal;140;;18;VOGUE;133
VO4163-S-Zlatna-848;vo4163-s-zlatna-848;848;VO4163__848;Default;Eyewear;Zlatna;zlatna;VO4163;53;848,28;Zlatna, crna;92;VOGUE;VO;S;Žene;Leptirasti;Puni okvir;Metal;53;40;Metal;140;;18;VOGUE;133
VO4163-S-crna-28;vo4163-s-crna-28;28;VO4163__28;Default;Eyewear;crna;crna;VO4163;53;848,28;Zlatna, crna;92;VOGUE;VO;S;Žene;Leptirasti;Puni okvir;Metal;53;40;Metal;140;;18;VOGUE;133
